Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
273581de-85d8-4332-81a5-19b04ce68666,90a75dde-34d5-419c-90dc-1e58b04b3e35,0,217646,0,730.0,1184194.0,< 1 year,0,0,10855.08,19.jun,10.0,13,1,122170,272052.0,1.0,0.0
8af915d9-9e91-44a0-b5a2-564a45c12089,af534dea-d27e-4fd6-9de8-efaa52a78ec0,0,548746,0,678.0,2559110.0,2 years,1,0,18660.28,22.jun,33.0,4,0,437171,555038.0,0.0,0.0
2e841c8f-3dc1-464d-91c1-3d3d51e64c38,2ac05980-7848-4692-89ae-9321afe650f8,0,234124,0,727.0,693234.0,10+ years,1,0,14211.24,24.jul,46.0,10,1,28291,107052.0,1.0,0.0
24e8c8bd-d10b-4dac-8b81-1da470ff5ecb,967e8733-7189-49b7-a3ab-6a1d0e1abdac,0,666204,1,723.0,1821967.0,10+ years,0,0,17612.24,22,34.0,15,0,813694,2004618.0,0.0,0.0
150ebbad-ebed-441e-b70d-2f350ad7dca6,40f729c9-54c7-4768-9fb5-2fa41d074c48,1,317108,1,687.0,1133274.0,8 years,1,0,9632.81,17.apr,53.0,4,0,60287,126940.0,0.0,0.0
578c8e10-3214-4491-bdbc-b1695ef8ff87,cbe53e22-ba67-4eaf-a4fb-c5acdd12ec66,0,465410,1,688.0,1722654.0,3 years,1,7,15647.45,22.mar,30.0,7,0,107559,488356.0,0.0,0.0
f7db4043-3607-46fe-a421-edf3281eed7c,f7581a72-d073-48a3-934f-14bdfae93691,0,449108,0,718.0,1454507.0,8 years,0,0,13090.43,28.aug,21.0,14,0,193990,458414.0,0.0,0.0
21d019a9-dc53-40e9-9c88-1ec3378283fe,64560eb4-f50d-4f14-8a86-b46c0381bef2,1,688468,1,682.0,1494616.0,< 1 year,1,0,14697.07,16.jun,50.0,8,0,343995,843854.0,0.0,0.0
93d2f093-833c-42a3-8879-05ab3bd73951,c5a714bb-75c6-4264-a807-8a35bb12ce7d,0,311762,1,680.0,2211657.0,4 years,0,0,44601.74,14.maj,15.0,11,0,213921,509652.0,0.0,0.0
2e30d6ea-3157-4537-99d9-f580eeaae1d5,5d71bb9d-ce8b-499d-91bf-3df92426430d,0,129712,0,723.0,1465698.0,10+ years,2,0,18199.15,19.apr,6.0,34,1,45106,163218.0,0.0,0.0
f6f70cfd-5100-4e63-b3c5-fa602ed29e95,24f6b0cb-17bd-4931-8cc9-b957f20efea5,0,287980,0,737.0,1013954.0,< 1 year,0,0,16138.6,18.jun,13.0,11,0,223117,489302.0,0.0,0.0
0daecc08-0354-4753-b282-52124b2420df,2884d362-391a-4941-af69-c825cae18002,1,219692,1,6610.0,527839.0,10+ years,1,0,14207.63,17,48.0,9,0,254277,379918.0,0.0,0.0
4ead58f0-0383-441a-b93d-a00c6baa74aa,41988ec9-7368-42a3-bc2f-9882fb3779f6,1,374176,1,652.0,1239199.0,10+ years,0,1,5163.25,36.6,42.0,10,0,126350,415602.0,0.0,0.0
a4b4920d-48a4-424f-8386-1959f2f9ae86,48e551b4-6a6f-4450-bf3c-f0ee9bcb266e,1,176198,0,736.0,1902090.0,10+ years,0,0,28372.89,15.apr,7.0,9,0,206872,620554.0,0.0,0.0
4bcf4e06-60c7-4849-8c70-ada382fef5bb,0b25e0aa-3fe1-4540-8e6d-f6e579dfc84a,0,130922,0,747.0,2261304.0,2 years,1,0,9761.25,16.jan,30.0,6,0,110428,235488.0,0.0,0.0
7e2870c0-998d-4d35-ab8f-df77d30a0b8a,cdb9037a-a7e4-49e5-ace2-61cb3df0e1e0,0,174548,0,721.0,1620681.0,6 years,1,8,30522.74,15,27.0,7,0,40489,128832.0,0.0,0.0
965909d3-09a6-410f-a30f-f25123010b3e,e947abb6-87fa-4e75-b381-d487bc4dd0bf,1,290224,1,644.0,837045.0,7 years,0,0,8230.99,18.mar,10.0,11,0,176624,370480.0,0.0,0.0
de86c495-4052-43e9-b773-0b6597c41347,2b8d9ed7-d6d4-491e-82f9-f5bee3bd9408,0,718784,1,672.0,1648915.0,10+ years,0,0,15664.74,12,5.0,10,0,252016,489610.0,0.0,0.0
277db7a2-1644-460b-aa8b-36951e5514f2,8e49b9f9-b15f-4d76-a1f8-2bc90dfdb07f,0,171248,0,747.0,3035725.0,10+ years,0,0,42500.15,31.maj,17.0,11,0,25460,151140.0,0.0,0.0
426da1a8-2d65-4033-a00b-9dc40729ebda,0c0f26c2-c4c9-4f63-ae6c-1895438c6966,0,323466,1,699.0,2048618.0,6 years,0,0,27997.64,14,72.0,19,1,389994,743952.0,1.0,0.0
5463544a-4d55-402e-bdde-48a27644dfb2,c2fe5a7f-9826-48ad-ae02-b2c31cae3463,0,211222,0,694.0,947625.0,4 years,1,0,8923.35,18,65.0,9,1,93081,397694.0,1.0,0.0
67d1e3af-f5f1-41a0-8051-ebe452c3502b,e978f6d8-912e-418e-8649-1b970583f4c8,0,162360,0,720.0,486875.0,10+ years,1,0,8560.83,15.jan,46.0,16,0,129504,434654.0,0.0,0.0
38c7f29b-fc9d-4674-be19-e0a4f1a9afc6,55012e48-1a72-4609-b289-cd25b03f1aea,0,389884,0,657.0,4776125.0,1 year,0,0,42985.22,21.maj,4.0,14,1,237500,562386.0,1.0,0.0
333ea452-cc2d-41a5-9970-a011ea10d148,47e5d0b1-228e-4fae-a0a5-22f4b9f8ad7d,0,433312,0,736.0,1010401.0,7 years,0,0,22228.86,16.jan,11.0,19,0,201780,613228.0,0.0,0.0
5bc5f041-9d56-4ed0-af6a-37d12daa5c49,ac460fac-928b-4149-b919-69ea4eb9750f,0,392282,1,688.0,974662.0,8 years,0,0,10396.42,12,10.0,11,0,35663,242946.0,0.0,0.0
8873a073-d23d-49a9-9b44-381e04fb118b,f55d6d2b-646b-4d5d-996e-85f78f6fe3f2,0,378334,0,714.0,2120514.0,2 years,1,0,35695.3,17,24.0,12,0,75335,413402.0,0.0,0.0
df9ae7ca-d33b-4abc-b2ec-c6455f7a5cc6,377a2055-0d25-4dd0-a7c9-28cb61f68259,1,194942,0,742.0,1212238.0,1 year,1,0,25254.99,27.apr,19.0,13,1,176396,339834.0,1.0,0.0
25dc64d4-1fbb-4f93-9f2b-6d60fb75eea3,46dce277-4cdd-4b47-83f8-97078cb41bc0,0,731566,0,705.0,1377443.0,10+ years,0,0,13429.96,20.apr,65.0,18,0,563008,1070432.0,0.0,0.0
