Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
0,0,0,445412,0,709.0,1167493.0,8,0,2,5214.74,17.0,6,1,228190,416746.0,1.0,0.0
1,1,0,347666,1,721.0,806949.0,3,2,0,8741.9,12.0,9,0,256329,386958.0,0.0,0.0
2,2,1,206602,0,7290.0,896857.0,10,0,0,16367.74,17.0,6,0,215308,272448.0,0.0,0.0
3,3,0,217646,0,730.0,1184194.0,0,0,0,10855.08,19.0,13,1,122170,272052.0,1.0,0.0
4,4,0,548746,0,678.0,2559110.0,2,1,0,18660.28,22.0,4,0,437171,555038.0,0.0,0.0
5,5,0,215952,0,739.0,1454735.0,0,1,0,39277.75,13.0,20,0,669560,1021460.0,0.0,0.0
6,6,0,234124,0,727.0,693234.0,10,1,0,14211.24,24.0,10,1,28291,107052.0,1.0,0.0
7,7,0,666204,1,723.0,1821967.0,10,0,0,17612.24,22.0,15,0,813694,2004618.0,0.0,0.0
8,8,0,390390,0,747.0,1791738.0,8,0,2,2478.55,22.0,6,0,121182,801812.0,0.0,0.0
9,9,1,317108,1,687.0,1133274.0,8,1,0,9632.81,17.0,4,0,60287,126940.0,0.0,0.0
10,10,0,128238,0,750.0,1354073.0,0,1,0,13202.15,11.0,7,0,131936,458788.0,0.0,0.0
11,11,1,153252,0,714.0,1890690.0,2,1,0,21900.35,15.0,12,0,891594,1081014.0,0.0,0.0
12,12,0,91894,0,724.0,850383.0,10,0,0,5860.74,17.0,7,0,95608,230626.0,0.0,0.0
13,13,0,244926,1,704.0,1249953.0,4,0,0,6812.26,14.0,6,1,143051,245014.0,0.0,1.0
14,14,0,465410,1,688.0,1722654.0,3,1,7,15647.45,22.0,7,0,107559,488356.0,0.0,0.0
15,15,0,443960,0,749.0,1432391.0,2,0,0,25186.21,14.0,15,0,342475,905344.0,0.0,0.0
16,16,0,334620,0,729.0,1348620.0,2,1,0,16913.99,20.0,16,0,313177,539616.0,0.0,0.0
17,17,1,130174,0,733.0,524609.0,0,1,0,9311.71,15.0,7,1,130701,268818.0,1.0,0.0
18,18,0,333564,1,725.0,1248338.0,10,0,0,18205.04,14.0,18,0,300979,515526.0,0.0,0.0
19,19,0,125796,0,745.0,1261068.0,5,0,0,20597.33,24.0,13,0,684817,997414.0,0.0,0.0
20,20,0,161172,0,720.0,796499.0,8,0,0,3404.99,22.0,6,1,114095,170038.0,0.0,0.0
21,21,0,449108,0,718.0,1454507.0,8,0,0,13090.43,28.0,14,0,193990,458414.0,0.0,0.0
22,22,1,688468,1,682.0,1494616.0,0,1,0,14697.07,16.0,8,0,343995,843854.0,0.0,0.0
23,23,1,288948,0,7120.0,537472.0,10,1,0,5777.9,14.0,4,0,132468,164406.0,0.0,0.0
24,24,0,311762,1,680.0,2211657.0,4,0,0,44601.74,14.0,11,0,213921,509652.0,0.0,0.0
25,25,0,266112,0,750.0,919296.0,1,1,0,12946.79,21.0,9,0,266266,485518.0,0.0,0.0
26,26,0,129712,0,723.0,1465698.0,10,2,0,18199.15,19.0,34,1,45106,163218.0,0.0,0.0
27,27,0,287980,0,737.0,1013954.0,0,0,0,16138.6,18.0,11,0,223117,489302.0,0.0,0.0
28,28,0,439428,0,710.0,1518024.0,8,1,0,20923.56,17.0,11,0,209304,265716.0,0.0,0.0
29,29,1,456808,1,598.0,1096167.0,10,2,0,14341.39,14.0,8,0,161861,278058.0,0.0,0.0
30,30,0,518012,1,719.0,1193010.0,10,2,0,22667.38,20.0,11,0,452770,1080926.0,0.0,0.0
31,31,1,219692,1,6610.0,527839.0,10,1,0,14207.63,17.0,9,0,254277,379918.0,0.0,0.0
32,32,1,374176,1,652.0,1239199.0,10,0,1,5163.25,36.6,10,0,126350,415602.0,0.0,0.0
33,33,1,176198,0,736.0,1902090.0,10,0,0,28372.89,15.0,9,0,206872,620554.0,0.0,0.0
34,34,1,78012,0,7380.0,728726.0,4,1,19,10135.36,11.0,8,0,104633,199936.0,0.0,0.0
35,35,0,669372,0,725.0,2158210.0,7,0,0,34711.29,9.0,17,0,496052,638176.0,0.0,0.0
36,36,0,130922,0,747.0,2261304.0,2,1,0,9761.25,16.0,6,0,110428,235488.0,0.0,0.0
37,37,0,174548,0,721.0,1620681.0,6,1,8,30522.74,15.0,7,0,40489,128832.0,0.0,0.0
38,38,1,290224,1,644.0,837045.0,7,0,0,8230.99,18.0,11,0,176624,370480.0,0.0,0.0
39,39,0,718784,1,672.0,1648915.0,10,0,0,15664.74,12.0,10,0,252016,489610.0,0.0,0.0
40,40,0,171248,0,747.0,3035725.0,10,0,0,42500.15,31.0,11,0,25460,151140.0,0.0,0.0
41,41,1,523908,1,7370.0,1028774.0,6,0,0,22632.99,19.0,5,0,474658,742720.0,0.0,0.0
42,42,0,323466,1,699.0,2048618.0,6,0,0,27997.64,14.0,19,1,389994,743952.0,1.0,0.0
43,43,0,144562,0,751.0,1060922.0,9,0,0,19750.88,21.0,7,0,314773,1035408.0,0.0,0.0
44,44,0,211222,0,694.0,947625.0,4,1,0,8923.35,18.0,9,1,93081,397694.0,1.0,0.0
45,45,0,162360,0,720.0,486875.0,10,1,0,8560.83,15.0,16,0,129504,434654.0,0.0,0.0
46,46,0,389884,0,657.0,4776125.0,1,0,0,42985.22,21.0,14,1,237500,562386.0,1.0,0.0
47,47,0,163966,0,678.0,719910.0,9,0,2,12778.26,6.0,9,1,66025,138248.0,0.0,1.0
48,48,0,433312,0,736.0,1010401.0,7,0,0,22228.86,16.0,19,0,201780,613228.0,0.0,0.0
49,49,0,89320,0,748.0,1832075.0,0,0,3,13312.92,19.0,6,0,127946,216260.0,0.0,0.0
50,50,0,392282,1,688.0,974662.0,8,0,0,10396.42,12.0,11,0,35663,242946.0,0.0,0.0
51,51,0,498586,1,666.0,1351679.0,3,1,3,32214.88,12.0,15,0,205637,433686.0,0.0,0.0
